rel_dist_x,rel_dist_y,rel_dist_z,tof,delta_v_x,delta_v_y,delta_v_z
-41207279.0215987,-7374059.167146593,10675317.826382026,122.17874927764609,20.109722089960542,22.862533817739166,11.843027407668103
-77150000.16876045,-45119460.16592795,23077341.37957777,63.65151791881121,10.514167200622069,8.56892371740361,12.839074759200557
-56307119.23125087,10840320.443555951,19320000.153724104,131.8422307461142,18.88880216614057,24.327709373882783,12.40466641037846
-28309681.411467675,67701882.90547574,17122087.676504433,86.73306987814222,22.87690876434027,27.412423425636266,9.965966109591298
-20416818.553299133,17581247.717193842,4350097.423172556,103.1471013043807,23.35588799709611,23.81756199382111,9.840021920705762
-29865005.333491694,84355990.06442785,21839667.245901898,133.95032876342583,23.232369164222593,29.63663651764851,11.160646902857183
-37434585.77180405,38355859.398361474,15142503.562880129,137.2210033447515,21.660297453588242,26.91609492668484,11.49238859284051
-42201757.64452858,-30580224.50429432,9043475.025746673,57.21272070955513,17.192089807773726,10.612692978367686,9.842964825668515
-42722045.778529555,-5507257.585713938,11534267.892870218,57.96000286499648,17.707996891689405,15.154284977375843,9.729471942444906
-41448110.61075543,24970078.370913684,14777892.421441227,86.92122433446904,20.204479007974747,22.620785966015,10.451858648079533
-57059974.82741198,30958138.110640526,22394443.921570465,107.52712868585134,18.7582824012521,24.170802482538498,11.725856504388732
-28412084.153933,71792421.41663834,18126608.84880741,106.00421425398714,23.133269348723942,28.129277498563034,10.435136155669218
-37877787.96155131,-40278632.31911278,6459619.020593137,69.3715757452623,18.62937121398995,12.275563462441188,10.302505006517888
-56809066.43406424,31161905.70421362,22318000.8352094,115.72627720790585,19.003235970480425,24.700424529611585,11.877637708809822
-53571817.590775415,23956155.93032223,19880018.114751816,133.96371489712755,19.531550275901758,25.396375755141868,12.183892336277502
-13337387.951452512,42011361.685472995,5183683.398906998,54.809062424890264,24.753319469618063,24.018202952672528,7.39767234227887
-40091270.43945518,-24235251.990237728,8625615.635387212,99.52699898245316,19.546751029904577,19.18019464848606,11.400388764385479
-51722994.1474037,-57935573.17336948,11406062.9347343,86.38904595800884,16.390963222228592,13.064059068222848,12.366473243543481
-40536891.842339516,69801955.41336697,22579575.69656405,135.86618453896662,21.858183097022618,28.61158100111859,11.520369277296853
-55032244.03772429,-15101622.102578476,15950596.442474604,148.596876279689,18.508980237246373,23.898675161550283,13.197282407816699
-41004642.2605934,57588349.87415549,20208524.915661186,146.8698057986629,21.66098948944275,28.317215324714862,11.744810158811148
-29082599.49738576,56515242.80560106,14980907.955927327,124.4703949635565,22.900899616106233,27.641946784937137,10.799553400424859
-42906395.24903706,-55565029.351575494,7728641.31962423,83.53460751462288,17.775626361765216,13.18158731027302,11.728799789971193
-50645136.44395448,-49965929.957715705,11391010.154120013,131.7076625607109,17.714777021698005,20.259447775733577,13.593196650193825
-23466720.731214937,13649810.066881716,5203515.9439710975,51.13192104365494,21.87686237390951,18.237301166669894,7.729275946879981
