Delta-v Total [km/s],Initial Delta-V [km/s],Final Delta-V [km/s],Transfer Time [days]
2.1584833780945143,1265.3923489577376,893.0910291367766,150.0
2.2110614169382186,1292.0220713417805,919.0393455964379,150.0
2.2685061165648297,1319.9143008911615,948.5918156736681,150.0
2.330413014780813,1348.990385402755,981.4226293780582,150.0
2.3963892214484295,1379.175117256189,1017.2141041922403,150.0
2.4660618118108566,1410.3969905032839,1055.6648213075725,150.0
2.5390830645246423,1442.5883463321913,1096.4947181924506,150.0
2.615133130610115,1475.6854269852374,1139.4477036248775,150.0
2.6939207761079738,1509.6283566453917,1184.2924194625823,150.0
2.775182787542272,1544.361065774921,1230.821721767351,150.0
2.8586825246266683,1579.831173152435,1278.8513514742333,150.0
2.9442079887833956,1615.9898376207107,1328.218151162685,150.0
3.0315696706606,1652.7915894430173,1378.7780812175827,150.0
3.690458813040131,1530.7305920235897,2159.7282210165413,150.0
3.5953893616401578,1494.8603235170485,2100.5290381231093,150.0
3.5013498419053084,1459.7470451818738,2041.6027967234345,150.0
3.40842079851825,1425.446380851165,1982.974417667085,150.0
3.3166897814406897,1392.0180762108666,1924.671705229823,150.0
3.22625190101789,1359.5261476319947,1866.7257533858954,150.0
3.1372103997833714,1328.0389827016738,1809.1714170816974,150.0
3.0496772343267837,1297.6293748346754,1752.0478594921085,150.0
2.9637736592932873,1268.3744713534088,1695.3991879398786,150.0
2.8796308046250285,1240.3556116547365,1639.275192970292,150.0
2.797390236817418,1213.6580299180898,1583.7322068993285,150.0
2.7172044955737205,1188.370395763387,1528.8340998103333,150.0
2.639237599133306,1164.5841669759395,1474.6534321573663,150.0
2.563665514933576,1142.3927316025802,1421.272783330996,150.0
2.490676597082558,1121.890323120133,1368.786273962425,150.0
2.4204719977471516,1103.1707025889184,1317.3012951582332,150.0
2.3532660644907564,1086.3256160207109,1266.9404484700458,150.0
2.2892867369877887,1071.443053369598,1217.8436836181909,150.0
2.228775949883661,1058.6053566051241,1170.1705932785367,150.0
2.1719900274527495,1047.8872463826756,1124.1027810700741,150.0
2.119200012164606,1039.3538571742922,1079.8461549903138,150.0
2.0706917950003945,1033.0588860777943,1037.6329089226003,150.0
2.0267658044940875,1029.0429675546957,997.722836939392,150.0
1.9877358654513433,1027.3323824119611,960.4034830393822,150.0
1.9539266732374534,1027.9381932305096,925.9884800069437,150.0
1.9256691851076961,1030.8558709376591,894.813314170037,150.0
1.9032931764589514,1036.065441219925,867.2277352390263,150.0
1.8871163448552006,1043.5321395801275,843.584205275073,150.0
1.8774297689289616,1053.2075254711717,824.22224345779,150.0
1.8744802909013036,1065.0309741826597,809.4493167186439,150.0
1.878451408065275,1078.9314437596154,799.5199643056598,150.0
1.8894452603302265,1094.8294049291385,794.6158554010881,150.0
1.9074688674144271,1112.6388244395312,794.8300429748961,150.0
1.9324275061965221,1132.2691042741474,800.1584019223748,150.0
1.9641269134551176,1153.6268977717486,810.5000156833687,150.0
2.002284175072745,1176.6177453790128,825.6664296937323,150.0
2.046545368407708,1201.1474945575603,845.3978738501477,150.0
2.0965068933053645,1227.1234880100994,869.3834052952652,150.0
2.151737248093858,1254.4555205021964,897.281727591662,150.0
2.21179663748057,1283.0565765884564,928.7400608921138,150.0
2.2762528354412455,1312.8433695837152,963.4094658575302,150.0
2.3446927559949904,1343.7367066451277,1000.9560493498627,150.0
2.4167299531987423,1375.6617065423995,1041.0682466563426,150.0
2.4920087070439694,1408.547896339484,1083.4608107044855,150.0
2.570205505061201,1442.3292114631017,1127.8762935980992,150.0
2.6510286976830484,1476.9439210737387,1174.0847766093095,150.0
2.7342169807163694,1512.3344977141178,1221.8824830022513,150.0
2.8195372057585653,1548.4474472078105,1271.089758550755,150.0
2.906781876038101,1585.2331119197656,1321.5487641183352,150.0
2.995766566998781,1622.6454578946928,1373.1211091040882,150.0
3.6324196244094398,1503.775714865143,2128.6439095442965,150.0
3.5364003792863086,1467.1609004325421,2069.2394788537663,150.0
3.4413763592216267,1431.2801591493887,2010.0962000722377,150.0
3.3474281886230774,1396.189763562818,1951.2384250602595,150.0
3.2546438626258207,1361.9504724472604,1892.6933901785603,150.0
3.163119381413574,1328.627746894122,1834.491634519452,150.0
3.0729594113562646,1296.2919238248774,1776.6674875313872,150.0
2.984277966026539,1265.0183276536472,1719.2596383728915,150.0
