x0 [AU],y0 [AU],z0 [AU],vx0 [km/s],vy0 [km/s],vz0 [km/s],x1 [AU],y1 [AU],z1 [AU],vx1 [km/s],vy1 [km/s],vz1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4557920231931472,0.0,-8.633499354234628,15.098118049383302,0.0,150,2105.8308,1936.7906
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4598736558462084,0.0,-8.648731523693144,15.082468796779516,0.0,150,2103.5552,1933.6797
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4639552884992697,0.0,-8.663910144241246,15.06681368383891,0.0,150,2101.2686,1930.5566
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4680369211523308,0.0,-8.679035287618055,15.051152883852293,0.0,150,2098.9705,1927.4211
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.472118553805392,0.0,-8.694107026221175,15.035486569327375,0.0,150,2096.6624,1924.3025
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4762001864584533,0.0,-8.709125433099981,15.019814911987996,0.0,150,2094.3481,1921.2946
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4802818191115144,0.0,-8.724090581948849,15.004138082773306,0.0,150,2092.0225,1918.2742
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4843634517645756,0.0,-8.739002547100435,14.988456251837029,0.0,150,2089.6858,1915.2416
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.488445084417637,0.0,-8.753861403518993,14.972769588546775,0.0,150,2087.338,1912.1969
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4925267170706982,0.0,-8.768667226793683,14.957078261483415,0.0,150,2084.9785,1909.1398
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4966083497237594,0.0,-8.78342009313191,14.941382438440456,0.0,150,2082.6084,1906.0709
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.5006899823768207,0.0,-8.798120079352698,14.925682286423497,0.0,150,2080.3435,1903.1008
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.5047716150298818,0.0,-8.81276726288007,14.909977971649738,0.0,150,2078.4373,1900.5535
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.508853247682943,0.0,-8.827361721736459,14.894269659547508,0.0,150,2076.85,1898.3848
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.5129348803360043,0.0,-8.841903534536128,14.878557514755846,0.0,150,2075.254,1896.2068
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.5170165129890656,0.0,-8.85639278047863,14.86284170112414,0.0,150,2073.6494,1894.0199
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.5210981456421266,0.0,-8.870829539342283,14.8471223817118,0.0,150,2072.0364,1891.824
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.525179778295188,0.0,-8.885213891477669,14.831399718787964,0.0,150,2070.4148,1889.6189
