relative_r [AU],relative_t [AU],relative_n [AU],relative_vr [km/s],relative_vt [km/s],relative_vn [km/s],tof [days],m0_maximum [kg],mass_ratio
-0.006038568024122615,0.2787565578031224,-0.0017219764284697,-52.620524258289464,0.8781034337637266,-6.290496263011953,27.4305303799,5560.2984054386,1.0065623682670137
-0.8726412271561002,2.0639582814596333,0.0109971405164824,-394.1081324006393,-168.21704782179472,-10.86335229722888,213.124516055,3193.7455305883,1.096718710709017
-0.15221104061826285,0.9979744895719712,-0.0053318548626237,-207.74948175377915,-33.10697004799317,-8.884603029054594,102.1648719297,3555.6634546385,1.0394706262824034
-0.022669556248121392,0.5231617880869569,-0.0014835442543935,-113.92049658658303,-12.074546031184298,6.7393488204473275,53.5980750209,2667.4287404671,1.0272782235167037
-0.07803575931810558,0.5425569121997665,0.0050941638023245,-91.07970948097753,-5.886940898749685,7.4055301095175965,51.9475331253,4899.0974368349,1.0142121276108271
-0.0938858137454206,0.4677809204519857,0.0009782049849931,-104.55849263518496,5.253895680280266,2.1621498287249663,48.4859672124,3032.5257262935,1.0215858801931152
-0.051619795207797914,0.525752978728993,-0.0051336720511265,-85.78266719409822,-4.504389073742971,-8.295928343281746,54.636980003,2205.2701778998,1.0338503521912892
-0.13716270148063714,0.9407815643285122,0.0358682487578799,-183.5831122868426,-46.75890571331644,38.35542583640848,90.8325790883,3086.047737293,1.040471846370358
-0.3018815823294858,1.5987995590470254,-0.0304377381097652,-275.5524524580621,-82.93754970353615,-15.6120842291893,151.2348104419,4622.3587665188,1.0451924910727604
-0.0470887954113115,0.4734502320245982,-0.0095260100772329,-89.57475972270854,-15.751123987624112,-20.674793086150338,47.7206560658,3332.4110258824,1.0192898882570578
-0.06406723996225239,0.7030037914076185,0.0073117285563991,-121.73370409595753,-23.72231319358434,16.352168219636436,67.8509697783,2837.936631523,1.0326272131876424
-0.27922872600662085,1.2260612388909966,0.0389762635082491,-258.8549339791668,-79.34024141580221,13.917045507555487,124.5803067833,2846.4896618243,1.0613901434689106
-0.8053009638733319,2.004928986349136,-0.0666814106800404,-388.6946800432811,-182.63330242280864,-40.772605781401914,202.1472953061,3574.5294768532,1.0807729376475406
-0.0954046409262097,0.6838218721492779,-0.0015041525075741,-170.41920589136768,-11.09198925022622,-2.5426151712292535,63.63162358,2791.004345623,1.0310657713180489
-0.17631912441701747,0.97273919219228,0.020376909156106,-226.1655110286074,-15.400625645836499,24.828010496976532,88.1546021689,2902.1435331613,1.041821892091967
-0.20584820875014342,1.1070624349597855,0.0147682411620736,-219.86289818678617,-39.569734951279884,-13.340655322555904,114.4018704308,2355.8908829054,1.0662165945248683
-0.28872192438960553,1.076415445633254,0.0023832236516369,-215.53118400037891,-24.54616614517147,0.8944525319854384,100.3916761175,4190.0897202531,1.032698619749266
