r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days]
3.0,0.0,17.196077467085647,2.570354331222919,1.5251797782951881,0.0,-8.791579268400637,14.816268988356343,0.0,150.0
3.0,0.0,17.196077467085647,2.570354331222919,1.5292614109482494,0.0,-8.805891199976786,14.800779267753374,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.329261410948249,0.0,-8.027831025761826,15.547834861088328,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3333430436013105,0.0,-8.044671551991312,15.532755700347122,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3374246762543716,0.0,-8.061458032713778,15.517664545280162,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3415063089074326,0.0,-8.07819051085764,15.502561587750696,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.345587941560494,0.0,-8.094869030209349,15.48744701893565,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3496695742135554,0.0,-8.111493635406596,15.472321029323036,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3537512068666167,0.0,-8.128064371931526,15.457183808709454,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3578328395196777,0.0,-8.144581286103964,15.442035546197634,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3619144721727388,0.0,-8.161044425074659,15.426876430194037,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3659961048258,0.0,-8.177453836818506,15.411706648406511,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3700777374788613,0.0,-8.193809570127792,15.396526387842016,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3741593701319228,0.0,-8.210111674605459,15.38133583480437,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.378241002784984,0.0,-8.226360200658354,15.36613517489209,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.382322635438045,0.0,-8.242555199490496,15.350924592996265,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3864042680911062,0.0,-8.258696723096369,15.33570427329846,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3904859007441674,0.0,-8.27478482425419,15.320474399268754,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3945675333972287,0.0,-8.290819556519214,15.30523515366372,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.3986491660502902,0.0,-8.306800974217039,15.28998671852455,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4027307987033513,0.0,-8.322729132436924,15.27472927517519,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4068124313564123,0.0,-8.33860408702512,15.259463004220528,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4108940640094736,0.0,-8.3544258945782,15.244188085544645,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4149756966625349,0.0,-8.370194612436421,15.228904698309115,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.419057329315596,0.0,-8.385910298677075,15.213613020951366,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4231389619686574,0.0,-8.401573012107871,15.198313231183048,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4272205946217187,0.0,-8.417182812260334,15.183005505988522,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4313022272747795,0.0,-8.432739759383184,15.167690021623343,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.435383859927841,0.0,-8.448243914435764,15.152366953612816,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.439465492580902,0.0,-8.463695339081477,15.137036476750584,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4435471252339631,0.0,-8.47909409568121,15.121698765097308,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4476287578870248,0.0,-8.494440247286814,15.10635399197934,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4517103905400863,0.0,-8.509733857634552,15.09100232998748,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4557920231931474,0.0,-8.524974991138613,15.07564395097578,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4598736558462084,0.0,-8.540163712884599,15.060279026060376,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4639552884992697,0.0,-8.555300088623055,15.044907725618389,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4680369211523308,0.0,-8.570384184762997,15.029530219286851,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.472118553805392,0.0,-8.585416068365475,15.014146675961715,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4762001864584535,0.0,-8.600395807137133,14.99875726379687,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4802818191115146,0.0,-8.615323469423803,14.98336215020321,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4843634517645756,0.0,-8.630199124204113,14.967961501847784,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.488445084417637,0.0,-8.645022841083106,14.952555484652946,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4925267170706982,0.0,-8.659794690285878,14.937144263795574,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.4966083497237594,0.0,-8.674514742651244,14.92172800370634,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.5006899823768207,0.0,-8.689183069625415,14.906306868069,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.504771615029882,0.0,-8.703799743255688,14.89088101981974,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.5088532476829433,0.0,-8.718364836184183,14.875450621146587,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.5129348803360043,0.0,-8.73287842164156,14.860015833488822,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.5170165129890656,0.0,-8.747340573440782,14.844576817536469,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.5210981456421266,0.0,-8.761751365970895,14.829133733229805,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.5251797782951881,0.0,-8.776110874190818,14.813686739758944,0.0,150.0
3.0,0.0,17.196077467085647,2.5744359638759806,1.5292614109482494,0.0,-8.790419173623173,14.798235995563411,0.0,150.0
