r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
3.0,0.0,17.196077467085647,2.570354331222919,1.4517103905400863,0.0,-8.525109079062565,15.09429924061098,0.0,150.0,2930.1820293943806,2739.0792611003153
3.0,0.0,17.196077467085647,2.570354331222919,1.4557920231931474,0.0,-8.540356808618444,15.078900532146356,0.0,150.0,2873.1263844534897,2682.5878088552504
3.0,0.0,17.196077467085647,2.570354331222919,1.4598736558462084,0.0,-8.555551955404578,15.063495348732774,0.0,150.0,2804.0005815063387,2613.511447517826
3.0,0.0,17.196077467085647,2.570354331222919,1.4639552884992697,0.0,-8.570694585914007,15.048083861274211,0.0,150.0,2725.741284476729,2534.8444073698565
3.0,0.0,17.196077467085647,2.570354331222919,1.4680369211523308,0.0,-8.585784767299282,15.032666239928671,0.0,150.0,2641.2219748026364,2449.540959649091
3.0,0.0,17.196077467085647,2.570354331222919,1.472118553805392,0.0,-8.600822567365965,15.017242654107193,0.0,150.0,2553.011639274389,2360.2721405037946
3.0,0.0,17.196077467085647,2.570354331222919,1.4762001864584535,0.0,-8.615808054566143,15.0018132724729,0.0,150.0,2463.244373134732,2269.292576938685
3.0,0.0,17.196077467085647,2.570354331222919,1.4802818191115146,0.0,-8.630741297991994,14.986378262940104,0.0,150.0,2373.611924202299,2178.404054502608
3.0,0.0,17.196077467085647,2.570354331222919,1.4843634517645756,0.0,-8.645622367369324,14.97093779267344,0.0,150.0,2285.411905571819,2088.9715296541817
3.0,0.0,17.196077467085647,2.570354331222919,1.488445084417637,0.0,-8.660451333051151,14.955492028087054,0.0,150.0,2199.6105988293593,2001.987700212548
3.0,0.0,17.196077467085647,2.570354331222919,1.4925267170706982,0.0,-8.67522826601131,14.94004113484384,0.0,150.0,2116.3403802640514,1918.1085711534304
3.0,0.0,17.196077467085647,2.570354331222919,1.4966083497237594,0.0,-8.689953237838056,14.924585277854725,0.0,150.0,2035.8727380496728,1837.6404561279528
3.0,0.0,17.196077467085647,2.570354331222919,1.5006899823768207,0.0,-8.7046263207277,14.90912462127797,0.0,150.0,1959.035963807072,1760.803301741927
3.0,0.0,17.196077467085647,2.570354331222919,1.504771615029882,0.0,-8.719247587478272,14.89365932851858,0.0,150.0,1885.939325538914,1687.706936190393
3.0,0.0,17.196077467085647,2.570354331222919,1.5088532476829433,0.0,-8.733817111483194,14.87818956222766,0.0,150.0,1816.6220753834516,1618.38930354561
3.0,0.0,17.196077467085647,2.570354331222919,1.5129348803360043,0.0,-8.74833496672496,14.862715484301924,0.0,150.0,1751.059487949433,1552.8267417781826
3.0,0.0,17.196077467085647,2.570354331222919,1.5170165129890656,0.0,-8.762801227768861,14.847237255883153,0.0,150.0,1689.1715637123432,1490.9387771839367
3.0,0.0,17.196077467085647,2.570354331222919,1.5210981456421266,0.0,-8.777215969756718,14.831755037357755,0.0,150.0,1630.8242941876508,1432.5915196296355
3.0,0.0,17.196077467085647,2.570354331222919,1.5251797782951881,0.0,-8.791579268400637,14.816268988356343,0.0,150.0,1575.8501259872353,1377.6174896450082
3.0,0.0,17.196077467085647,2.570354331222919,1.5292614109482494,0.0,-8.805891199976786,14.800779267753374,0.0,150.0,1524.064101916964,1325.831451756872
3.0,0.0,17.196077467085647,2.5744359638759806,1.329261410948249,0.0,-8.027831025761826,15.547834861088328,0.0,150.0,1286.553557342134,1091.0244440339789
3.0,0.0,17.196077467085647,2.5744359638759806,1.3333430436013105,0.0,-8.044671551991312,15.532755700347122,0.0,150.0,1324.5865739323413,1128.877784053928
3.0,0.0,17.196077467085647,2.5744359638759806,1.3374246762543716,0.0,-8.061458032713778,15.517664545280162,0.0,150.0,1364.8904657788255,1169.0194002317917
3.0,0.0,17.196077467085647,2.5744359638759806,1.3415063089074326,0.0,-8.07819051085764,15.502561587750696,0.0,150.0,1407.6472996820737,1211.6328327369483
3.0,0.0,17.196077467085647,2.5744359638759806,1.345587941560494,0.0,-8.094869030209349,15.48744701893565,0.0,150.0,1453.0514025243965,1256.9165547757111
3.0,0.0,17.196077467085647,2.5744359638759806,1.3496695742135554,0.0,-8.111493635406596,15.472321029323036,0.0,150.0,1501.313526309208,1305.0846440040054
3.0,0.0,17.196077467085647,2.5744359638759806,1.3537512068666167,0.0,-8.128064371931526,15.457183808709454,0.0,150.0,1552.658375572713,1356.366624028877
3.0,0.0,17.196077467085647,2.5744359638759806,1.3578328395196777,0.0,-8.144581286103964,15.442035546197634,0.0,150.0,1607.3256981612674,1411.005198635159
3.0,0.0,17.196077467085647,2.5744359638759806,1.3619144721727388,0.0,-8.161044425074659,15.426876430194037,0.0,150.0,1665.5648438203536,1469.2563795396954
