r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days]
3.0,0.0,17.196077467085647,1.9278812986764182,2.1069572190769623,0.0,-13.002834163841047,11.89768856590358,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.1151204843830844,0.0,-13.011994556258376,11.86011915099322,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.1232837496892074,0.0,-13.020982131086384,11.822681704504005,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.13144701499533,0.0,-13.029798553658845,11.785376216436216,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.139610280301452,0.0,-13.038445476953603,11.74820266580952,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.1477735456075746,0.0,-13.046924541605888,11.711161020883598,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.1559368109136967,0.0,-13.055237375923957,11.674251239375824,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.1641000762198193,0.0,-13.063385595907016,11.637473268676088,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.172263341525942,0.0,-13.071370805265325,11.600827046058674,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.180426606832065,0.0,-13.079194595442443,11.564312498891294,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.1885898721381873,0.0,-13.086858545639544,11.527929544841252,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.196753137444309,0.0,-13.09436422284171,11.491678092078782,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.2049164027504315,0.0,-13.101713181846174,11.455558039477513,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.213079668056554,0.0,-13.108906965292451,11.419569276812195,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.2212429333626766,0.0,-13.115947103694264,11.383711684953594,0.0,250.0
