rel_dist_x,rel_dist_y,tof,v0_x,v0_y,vf_x,vf_y
-0.13771397649397013,0.7724958763579775,64.00551386489974,9.9627625,24.404598,-14.9245923,14.7575673
-0.14481618796031892,0.6964677083613431,47.02230147798521,5.6290439,28.258583,-14.7306995,20.9133863
-0.17774066352006637,0.8944117326134162,60.24260244565605,7.7247354,29.4973306,-14.9614662,19.4081953
-0.564567791508243,0.9182070269879503,76.78907051487352,4.2198534,27.4420462,-25.6445147,8.2595482
-0.25098053161977113,0.9037991528523662,48.9140462377576,2.2386198,35.4914779,-17.4769317,26.1003323
-0.4041435556585337,1.0166026065423792,61.00438548252911,1.9468608,33.913182,-21.1305796,20.5136652
-0.3139201845047811,0.8522889854128278,79.4163087532704,9.6916716,23.7393612,-20.1426859,9.2502815
-0.6995080570534725,0.9342584288436366,64.99211610411437,-3.0096844,31.9311485,-30.0040509,11.9419312
-0.278311200603392,0.9726793312367594,76.80299085936507,9.2037703,27.0927883,-17.7131116,13.3714436
-0.29067906511444674,0.8803506811820972,63.67665419207496,6.0612191,28.3491613,-18.9057778,16.236513
-0.051307057014750024,0.8586869381055335,47.752783154510496,8.367697,33.8360171,-9.6667592,26.8008595
-0.7097941786466644,1.090224938134272,65.6565814212731,-3.8826184,35.9606138,-28.1829519,17.0226201
-0.046391140937370894,0.8817348512805276,62.02678976332429,11.288305,27.9805605,-10.7699035,19.2409266
-0.339941009170323,0.7876956170060848,52.892217484982886,1.5963212,29.6611869,-21.9175579,18.5186094
-0.20344550550312665,0.7175039235787272,64.34838122605055,8.8112285,22.9293277,-17.7778821,12.5695925
-0.6869258129732136,0.8290941666174652,74.11422474467281,1.5636527,26.736073,-30.1612883,4.4144863
-0.6792497600339474,0.950323227249881,64.64984434786697,-2.7893514,32.3342422,-29.3246445,12.9857035
-0.41926079092027935,0.9437427724624914,60.66884442468182,1.7949226,31.9460446,-22.4059409,18.2303836
-0.6707931245464076,0.8907369682553216,65.21007691105136,-1.9839662,30.4553826,-29.893694,10.6934119
-0.1649264530110193,0.70054408421597,40.15560586490343,2.5506083,32.5623174,-15.4319153,25.9237562
-0.05957387205409662,0.8101153841984237,68.5843118159296,12.3882008,23.9492889,-12.4047356,14.6262386
-0.6887229810965296,1.0862418311835504,79.6505129373474,1.8013938,31.5659299,-25.7444834,10.5164659
-0.6710019520039993,0.9401974938611624,60.15730062070218,-4.6119517,33.5708717,-30.0775475,15.2169133
-0.6782209911812053,1.0258051552853145,79.7587989171055,2.3861914,30.1143053,-26.2880145,8.7493351
-0.38514761107966955,1.068357050406204,63.6385819049807,3.0587574,34.2535363,-19.8862549,20.8159607
-0.4734804955049563,0.9333229963425709,71.63473531158184,4.3173752,28.4672573,-23.4497677,12.0126871
-0.37402698370322385,1.0151150780669147,70.38355587995368,5.5659286,30.3975465,-19.8402367,16.0290612
-0.21807380604378807,0.8439280367335957,56.67826636148235,5.9347417,29.4522885,-16.7166172,19.4245603
