start_pos_x,start_pos_y,start_pos_z,rel_dist_x,rel_dist_y,rel_dist_z,tof,delta_v
454856.25,998378.71,-812583.92,699643.86,-862820.34,-604306.98,16.09,24133.72
29929.42,-38658.85,546860.13,120833.02,53465.95,253317.83,924.16,38105.14
374224.73,738371.21,-932584.54,-984103.43,-150797.85,952351.35,15.36,25254.31
-526235.39,-439257.31,322534.24,974915.47,376408.85,66501.53,11.19,32410.48
272339.38,-436030.56,-466298.64,-235828.36,-288423.17,114423.26,7.32,33854.03
-213951.62,81467,-3071.74,-59106.35,577189.48,131409.48,947,59007.49
52932.28,-414044.62,270214,-424349.99,193530.07,-339486.79,774.54,40040.72
-562124.81,-369867.89,-484795.14,-702455.75,-433469.92,-302900.51,15.63,30979.54
322178.63,326513.55,-371183.86,280549.58,570686.87,-935530.34,18.69,36737.96
-129056.82,-12096.35,911049.7,-440077.45,720823.23,210493.89,14.2,29405.82
120188.32,111877.49,263632.79,-414846.51,-394878.59,31349.69,716.03,50663.36
135068.16,-167329.98,-125853.36,-473854.3,-93338.34,255332.41,657.42,56564.51
-179117.26,629432.51,585707.9,900658.12,733335.18,-872964.99,19.51,30106.71
555109.08,784590.24,163971.39,-722023.2,337808.7,-335126.97,8.49,28554.86
-206808.11,-20726.13,105825.87,-279792.8,100599.32,-265410.4,675.2,58464.01
-94002.25,628093.03,-820724.59,982972.22,762504.68,-127392.51,12,27683.94
247020.86,799100.3,220781.13,785342.19,283255.88,377419.85,5.57,30307.68
472699.17,43396.52,-218747.83,-331630.89,-181345.71,400781.61,648.92,39054.85
167496.25,162271.27,308742.78,104256.31,239517.48,7358.94,998.12,45391.35
677672.51,-572746.81,-227840.27,-114616.44,-229011.43,-708393.59,0.96,29335.33
316077.76,-391715.3,127205.28,351909.02,363561.86,58817.77,896.05,39186.4
416605.33,-626292.96,-845636.97,806056.49,-39121.54,-225215.91,13.04,26508.13
-959734.67,-807404.72,-208719.84,-369883.47,524152.29,-914848.75,6.2,24984.19
-529261.67,86548.82,-120422.53,346341.69,-223760.62,-67885.38,561.59,38084.27
-700705.89,454798.73,172018.32,79620.92,864327.66,-925298.66,2.64,30492.1
