tof [days],m0_maximum [kg],m1_maximum [kg]
183.94177202641765,3650.2643000215767,3409.2402820304073
249.95800133053876,2314.1800847997897,1984.3556384252624
136.2574840352681,2596.78371783401,2416.947577292425
177.24029634972263,2682.120813744062,2448.1876075739133
70.82646845099211,2775.4870719930504,2681.999321720505
132.00075649095393,3690.4077297929985,3516.142897552593
232.2333589351036,4194.987655400255,3888.328680841872
269.7738826113783,4968.572384730651,4612.301085437403
220.46777970725097,5379.003045482924,5087.836058761825
268.83174169791135,7431.695468823992,7076.858336941873
291.85517957541765,3527.876238861395,3142.5548657312634
169.4696305550889,4088.876386937419,3865.099043711536
201.1410034077275,3264.3785431352085,2998.839280747918
86.94219752980311,2180.502802989845,2065.7803569181374
163.63223390729388,2329.704329512588,2113.7750246042783
186.64251831172456,2321.4412582682075,2075.1515110480254
204.22755707184828,2353.0948619576457,2083.598531593924
207.3096509790848,2994.633398864439,2720.9775008420556
170.74678604541987,3220.7224146258113,2995.3103208560055
249.8817292374589,3531.6556907230297,3201.747700915416
94.2938351855263,2489.2348452298784,2364.788820253674
239.66487931330636,4807.764569019831,4491.2614019866
124.89479624640089,3120.0657640004833,2955.189870943778
171.53268286175472,3786.009128809437,3559.522310559924
285.7493855017816,4366.048323522283,3988.714129384744
224.87195660495473,2760.3085296658587,2463.5044071548705
200.27754654447207,2152.08731420051,1887.8447365189993
98.1272920332414,2074.9021806527744,1945.9216555573012
104.20022980782956,2145.49550514011,2009.358877055442
170.7080248771379,1989.4676215409816,1764.270759539407
74.26711395666644,1850.8465618279329,1757.7662369499992
173.1816146983838,2628.8643218461875,2406.8924560366127
118.30905934968182,2662.1899643462148,2506.048373326104
276.0092274912676,2658.813725617869,2294.5382920386355
256.581558206919,2693.201965231213,2354.557820732103
169.53108757415612,2839.0594447181,2615.2858391809427
177.37616204678488,2788.996442090075,2554.8720221188178
139.61925591032212,3534.5368276315626,3350.1991717971764
144.6296064132473,3800.592981073154,3609.6272612251314
179.49787282843332,3324.481872184738,3087.509634840016
221.46435914737248,3062.0486604208413,2769.7017613945377
88.19880017514525,2043.207470926099,1926.8404077161297
97.7447872084591,2579.310807252352,2450.303181259753
198.90930186021447,3652.1385352370166,3389.51490049133
240.38906609360112,3188.481564861147,2871.1405101326877
122.73130142608773,2489.5962232819375,2327.620300443217
200.39515806649425,3072.1930919943293,2807.6573353261106
115.09814092684256,3096.401716239237,2944.4595010350563
107.9785088454081,2907.332375808792,2764.7972185994568
162.8172602083796,2995.50319905671,2780.5756556928054
254.98310985031276,3032.647383576654,2696.0623694811757
225.95438946549257,3200.660387499339,2902.371786670696
263.6969295648741,3909.605428235926,3561.4231496401817
273.79275448278344,5350.226173030842,4988.6342598144665
235.87256548652644,3463.579633077692,3152.172241200425
254.91237357948592,2871.217848067105,2534.7496304569404
124.9785030566125,2773.2972114783624,2608.334065093047
