r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
2.938342324,-9.717022654,500.7122622,2.937314198,0.039308962,-8.98E-05,-16.4910166,501.3039844,-2.289569774,4.046176194,2597.811799,2592.464573
2.937193084,-9.801445375,501.8743348,2.936464962,0.028468349,-3.01E-06,-15.83062703,500.2765523,-0.105675483,2.929949062,2531.228247,2527.356167
2.936282467,-11.58591677,499.6786161,2.93545224,0.028343804,-2.88E-06,-17.64060204,498.087981,-0.101028467,2.929949062,2525.420126,2521.548046
2.935215551,-13.46938534,497.5196019,2.934277581,0.02822135,-2.73E-06,-19.55005413,495.9363268,-0.095418345,2.929949062,2519.612006,2515.739926
2.93398394,-15.45086704,495.3988465,2.932932644,0.028101075,-2.54E-06,-21.55800617,493.8231234,-0.088581749,2.929949062,2513.803886,2509.931806
2.932579326,-17.52934316,493.3178528,2.93140918,0.027983065,-2.30E-06,-23.6634336,491.7498459,-0.080148918,2.929949062,2507.995766,2504.123685
2.930993486,-19.7037418,491.2780618,2.929699027,0.027867398,-2.01E-06,-25.86523766,489.7178965,-0.069584008,2.929949062,2502.187645,2498.315565
2.929218295,-21.97290578,489.280836,2.927794129,0.027754153,-1.63E-06,-28.1621977,487.7285837,-0.056080712,2.929949062,2496.379525,2492.507445
2.927245732,-24.3355346,487.3274361,2.925686539,0.027643397,-1.14E-06,-30.55288206,485.783095,-0.038368703,2.929949062,2490.571406,2486.699326
2.925067895,-26.79007343,485.4189895,2.923368454,0.027535193,-4.74E-07,-33.03546862,483.8824638,-0.014326236,2.929949062,2484.763286,2480.891206
2.922677035,-29.33448241,483.5564579,2.920832254,0.027429593,4.67E-07,-35.60734616,482.0275556,0.019873706,2.929949062,2478.955166,2475.083087
2.920065613,-31.96570179,481.7406411,2.918070611,0.027326641,1.89E-06,-38.26409972,480.219195,0.071893604,2.929949062,2473.147047,2469.274968
2.917226444,-34.67820691,479.9724314,2.91507675,0.027226409,4.26E-06,-40.99636408,478.4591393,0.159550995,2.929949062,2467.338929,2463.46685
2.914153069,-37.4591005,478.2546169,2.911845316,0.027129219,8.91E-06,-43.77640878,476.7571082,0.335184387,2.929949062,2461.530811,2457.658734
2.910841169,-40.2636214,476.6064773,2.908376943,0.02703797,2.13E-05,-46.45524682,475.2137524,0.820500472,2.929949062,2455.722696,2451.850625
2.907298157,-42.76608729,475.2913871,2.904722177,0.026996325,5.03E-05,-47.7585956,475.2445546,1.748109221,2.929949062,2449.914595,2446.042536
2.903616989,-43.30226627,476.3012083,2.901036976,0.027091331,2.88E-05,-47.50839779,477.4028613,0.967838652,2.929949062,2444.106501,2440.234426
2.899942964,-42.88005016,478.6427484,2.897389527,0.027229234,1.82E-05,-47.00651253,479.8950531,0.622739981,2.929949062,2438.298387,2434.426308
2.896313328,-42.281695,481.163152,2.89379458,0.027373476,1.39E-05,-46.38518185,482.4485975,0.480606452,2.929949062,2432.490269,2428.61819
2.892739577,-41.57133598,483.7189728,2.890261594,0.027518898,1.16E-05,-45.66088513,485.0107519,0.404000535,2.929949062,2426.682151,2422.810071
2.889230719,-40.75941571,486.2742261,2.8867992,0.027663981,1.02E-05,-44.83725196,487.5622155,0.356118898,2.929949062,2420.874031,2417.001952
2.885795276,-39.84862148,488.8137766,2.883415819,0.02780802,9.25E-06,-43.91529799,490.0928873,0.323493816,2.929949062,2415.065912,2411.193832
2.88244163,-38.8398358,491.3290281,2.880119803,0.02795059,8.56E-06,-42.89534206,492.5962309,0.299739608,2.929949062,2409.257792,2405.385712
2.879178114,-37.73343866,493.8140873,2.876919469,0.028091384,8.03E-06,-41.77754262,495.0673049,0.281601651,2.929949062,2403.449672,2399.577592
2.876013037,-36.52970446,496.2643166,2.873823112,0.028230154,7.62E-06,-40.56207186,497.5019663,0.267250728,2.929949062,2397.641552,2393.769472
2.87295468,-35.22893796,498.6757288,2.870838999,0.02836668,7.28E-06,-39.24918002,499.8965087,0.255570204,2.929949062,2391.833432,2387.961352
2.870011296,-33.83152787,501.0447028,2.867975363,0.028500763,7.00E-06,-37.83922266,502.2474814,0.245837864,2.929949062,2386.025311,2382.153231
2.867191103,-32.33797095,503.3678361,2.865240392,0.028632212,6.76E-06,-36.33267409,504.5515894,0.237567944,2.929949062,2380.217191,2376.345111
2.864502267,-30.74888451,505.6418629,2.862642219,0.028760844,6.56E-06,-34.73013519,506.805638,0.230424221,2.929949062,2374.409071,2370.53699
